query,pmid,title,year,journal,authors,pubdate
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39746635,Towards cleaner air in urban areas: The dual influence of urban built environment factors and regional transport.,2024,"Environmental pollution (Barking, Essex : 1987)",Han L; Qi Y; Liu D; Liu F; Gao Y; Ren W; Zhao J,2025 Feb 15
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39746640,Effect of PM2.5 air pollution on the global burden of neonatal diarrhea from 1990 to 2019.,2024,"Environmental pollution (Barking, Essex : 1987)",Zhang Z; Song N; Wang J; Liu J; Shi L; Du J,2025 Feb 15
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39750520,Effect of Particulate Matter 2.5 on Primary Gingival Keratinocyte and Human Gingival Fibroblast Cell Lines.,2024,European journal of dentistry,Mala S; Buranapraditkun S; Sooklert K; Sereemaspun A; Lapthanasupkul P; Rungraungrayabkul D; Kitkumthorn N,2025 May
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39754883,Diamide insecticides in PM(2.5): The unreported rural and urban air pollutants.,2024,Journal of hazardous materials,Zhang Y; Peng Z; Luo P; Zhu L; He Q; Pei C; Yin D; Zhang W; Zhang S; Cai Z,2025 Mar 15
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39763392,Histological and stereological insights into renal and adrenal changes in pregnant rats exposed to wood smoke-derived PM2.5.,2024,Histology and histopathology,Salinas P; Villarroel F; González-Torres C; Lazcano T; Silva J; Maulen A; Rojas E,2025 Jun
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39765793,Association Between Oxidative Potential of Particulate Matter Collected by Personal Samplers and Systemic Inflammation Among Asthmatic and Non-Asthmatic Adults.,2024,"Antioxidants (Basel, Switzerland)",Santibáñez M; Ruiz-Cubillán JJ; Expósito A; Agüero J; García-Rivero JL; Abascal B; Amado CA; Ruiz-Azcona L; Lopez-Hoyos M; Irure J; Robles Y; Berja A; Barreiro E; Núñez-Robainas A; Cifrián JM; Fernandez-Olmo I,2024 Nov 28
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39765833,"Deciphering the Liaison Between Fine Particulate Matter Pollution, Oxidative Stress, and Prostate Cancer: Where Are We Now?",2024,"Antioxidants (Basel, Switzerland)",Lee CW; Chiang YC; Vo TTT; Lin ZC; Chi MC; Fang ML; Peng KT; Tsai MH; Lee IT,2024 Dec 10
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39765899,A Combined Extract from Dioscorea bulbifera and Zingiber officinale Mitigates PM(2.5)-Induced Respiratory Damage by NF-κB/TGF-β1 Pathway.,2024,"Antioxidants (Basel, Switzerland)",Kim IY; Lee HL; Choi HJ; Ju YH; Heo YM; Na HR; Lee DY; Jeong WM; Heo HJ,2024 Dec 20
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39766314,Molecular Pathways Linking High-Fat Diet and PM(2.5) Exposure to Metabolically Abnormal Obesity: A Systematic Review and Meta-Analysis.,2024,Biomolecules,Lobato S; Salomón-Soto VM; Espinosa-Méndez CM; Herrera-Moreno MN; García-Solano B; Pérez-González E; Comba-Marcó-Del-Pont F; Montesano-Villamil M; Mora-Ramírez MA; Mancilla-Simbro C; Álvarez-Valenzuela R,2024 Dec 16
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39767139,Evaluation of the Relationship Between Air Pollutants and Emergency Department Admissions with Childhood Asthma.,2024,"Diagnostics (Basel, Switzerland)",Söğütlü Y; Altaş U; Altıntaş T; Altaş ZM; Akova S; Özkars MY,2024 Dec 11
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39767402,Association Between Chronic Pain and Fatigue Severity with Weather and Air Pollution Among Females with Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS).,2024,International journal of environmental research and public health,Jones CL; Haskin O; Younger JW,2024 Nov 26
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39767415,Outdoor Pollution Comparison Between Bucharest and Its Outskirts Using Mobile Laboratory.,2024,International journal of environmental research and public health,Popescu RS; Popescu LL; Catalina T,2024 Nov 26
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39767477,"Assessing the Polarising Impacts of Low-Traffic Neighbourhoods: A Community Perspective from Birmingham, UK.",2024,International journal of environmental research and public health,Whelan I; Luiu C; Pope FD,2024 Dec 9
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39767502,"Air Pollution's Hidden Toll: Links Between Ozone, Particulate Matter, and Adolescent Depression.",2024,International journal of environmental research and public health,Waxman M; Manczak EM,2024 Dec 13
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39767552,Ambient Air Pollution Exposure and Breast Cancer Risk Worldwide: A Systematic Review of Longitudinal Studies.,2024,International journal of environmental research and public health,Tippila J; Wah NLS; Akbar KA; Bhummaphan N; Wongsasuluk P; Kallawicha K,2024 Dec 23
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39767965,Association Between Long Term Exposure to PM(2.5) and Its Components on Severe Obesity in Chinese Children and Adolescents: A National Study in China.,2024,"Children (Basel, Switzerland)",Guo T; Chen T; Chen L; Liu J; Song X; Zhang Y; Wang R; Jiang J; Qin Y; Dong Z; Zhang D; Song Z; Yuan W; Dong Y; Song Y; Ma J,2024 Dec 18
