query,pmid,title,year,journal,authors,pubdate
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30597786,Identification of mRNA-miRNA crosstalk in human endothelial cells after exposure of PM2.5 through integrative transcriptome analysis.,2018,Ecotoxicology and environmental safety,Wang Y; Zou L; Wu T; Xiong L; Zhang T; Kong L; Xue Y; Tang M,2019 Mar
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30598015,"Negative Emotion under Haze: An Investigation Based on the Microblog and Weather Records of Tianjin, China.",2018,International journal of environmental research and public health,Sun X; Yang W; Sun T; Wang Y,2018 Dec 30
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30599404,Cytotoxicity comparison between fine particles emitted from the combustion of municipal solid waste and biomass.,2018,Journal of hazardous materials,Shang Y; Wu M; Zhou J; Zhang X; Zhong Y; An J; Qian G,2019 Apr 5
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30602677,TMT-Based Quantitative Proteomics Analysis Reveals Airborne PM(2.5)-Induced Pulmonary Fibrosis.,2018,International journal of environmental research and public health,Liu S; Zhang W; Zhang F; Roepstorff P; Yang F; Lu Z; Ding W,2018 Dec 31
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30602933,Diesel exhaust nanoparticles and their behaviour in the atmosphere.,2018,"Proceedings. Mathematical, physical, and engineering sciences",Harrison RM; Rob MacKenzie A; Xu H; Alam MS; Nikolova I; Zhong J; Singh A; Zeraati-Rezaei S; Stark C; Beddows DCS; Liang Z; Xu R; Cai X,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30604639,Engineered nanoparticle exposure and cardiovascular effects: the role of a neuronal-regulated pathway.,2018,Inhalation toxicology,Kan H; Pan D; Castranova V,2018 Aug
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30605847,"Brominated flame retardants in atmospheric fine particles in the Beijing-Tianjin-Hebei region, China: Spatial and temporal distribution and human exposure assessment.",2018,Ecotoxicology and environmental safety,Zhang W; Wang P; Zhu Y; Yang R; Li Y; Wang D; Matsiko J; Han X; Zhao J; Zhang Q; Zhang J; Jiang G,2019 Apr 30
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30605850,Air pollution exposures and blood pressure variation in type-2 diabetes mellitus patients: A retrospective cohort study in China.,2018,Ecotoxicology and environmental safety,Li D; Wang JB; Yu ZB; Lin HB; Chen K,2019 Apr 30
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30605872,A method for particulate matter 2.5 (PM(2.5)) biotoxicity assay using luminescent bacterium.,2018,Ecotoxicology and environmental safety,Jing W; Liu Q; Wang M; Zhang X; Chen J; Sui G; Wang L,2019 Apr 15
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30609496,Pulmonary bioaccessibility of trace metals in PM(2.5) from different megacities simulated by lung fluid extraction and DGT method.,2018,Chemosphere,Luo X; Zhao Z; Xie J; Luo J; Chen Y; Li H; Jin L,2019 Mar
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30609505,Associations between inhaled doses of PM(2.5)-bound polycyclic aromatic hydrocarbons and fractional exhaled nitric oxide.,2018,Chemosphere,Li T; Wang Y; Hou J; Zheng D; Wang G; Hu C; Xu T; Cheng J; Yin W; Mao X; Wang L; He Z; Yuan J,2019 Mar
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30611074,"Similarities and differences in PM(10) and PM(2.5) concentrations, chemical compositions and sources in Hefei City, China.",2018,Chemosphere,Xue H; Liu G; Zhang H; Hu R; Wang X,2019 Apr
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30611943,Seasonal variation of chemical characteristics of fine particulate matter at a high-elevation subtropical forest in East Asia.,2018,"Environmental pollution (Barking, Essex : 1987)",Lee CSL; Chou CC; Cheung HC; Tsai CY; Huang WR; Huang SH; Chen MJ; Liao HT; Wu CF; Tsao TM; Tsai MJ; Su TC,2019 Mar
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30612847,Long-term exposure of fine particulate matter air pollution and incident atrial fibrillation in the general population: A nationwide cohort study.,2018,International journal of cardiology,Kim IS; Yang PS; Lee J; Yu HT; Kim TH; Uhm JS; Pak HN; Lee MH; Joung B,2019 May 15
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30618352,Particle and inhalation exposure in human and monkey computational airway models.,2018,Inhalation toxicology,Lu Phuong N; Dang Khoa N; Inthavong K; Ito K,2018 Sep-Oct
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30623697,Determination of 23 perfluorinated alkylated substances in water and suspended particles by ultra-performance liquid chromatography/tandem mass spectrometry.,2018,"Journal of environmental science and health. Part A, Toxic/hazardous substances & environmental engineering",Wang XF; Wang Q; Li ZG; Huang K; Li LD; Zhao DH,2018
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30623827,"Size-resolved particle oxidative potential in the office, laboratory, and home: Evidence for the importance of water-soluble transition metals.",2018,"Environmental pollution (Barking, Essex : 1987)",Guo HB; Li M; Lyu Y; Cheng TT; Xv JJ; Li X,2019 Mar
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30625613,Determination of PM(2.5)-bound polyaromatic hydrocarbons and their hydroxylated derivatives by atmospheric pressure gas chromatography-tandem mass spectrometry.,2018,Talanta,Zhang Y; Chen Y; Li R; Chen W; Song Y; Hu D; Cai Z,2019 Apr 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30625635,A novel approach to evaluate the lung cancer risk of airborne particles emitted in a city.,2018,The Science of the total environment,Stabile L; Massimo A; Rizza V; D'Apuzzo M; Evangelisti A; Scungio M; Frattolillo A; Cortellessa G; Buonanno G,2019 Mar 15
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30627165,Development of a New Sequential Extraction Procedure of Nickel Species on Workplace Airborne Particulate Matter: Assessing the Occupational Exposure to Carcinogenic Metal Species.,2018,International journal of analytical chemistry,Simona C; Jacopo F; Maria Enrica G; Francesca O; Riccardo M; Matteo P; Egidio M; Giuseppe P,2018
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30627518,LIFE Med Hiss: An innovative cohort design for public health.,2018,MethodsX,Gandini M; Scarinzi C; Bande S; Berti G; Ciancarella L; Costa G; Demaria M; Ghigo S; Marinacci C; Piersanti A; Sebastiani G; Cadum E,2019
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30627626,Air quality and life expectancy in the United States: An analysis of the moderating effect of income inequality.,2018,SSM - population health,Hill TD; Jorgenson AK; Ore P; Balistreri KS; Clark B,2019 Apr
